time;inflow;outflow;outflow_wb
1;0.2277936;0.0698991552;0.138008448
2;0.233614368;0.0697458816;0.146342592
3;0.239434272;0.0695926944;0.1546776
4;0.24525504;0.0694394208;0.163012608
5;0.2444256;0.0689851296;0.168966432
6;0.24359616;0.068530752;0.17492112
7;0.24276672;0.0680763744;0.180874944
8;0.239653728;0.0675245376;0.180716832
9;0.236539872;0.0669726144;0.180557856
10;0.23342688;0.0664207776;0.180399744
11;0.227886048;0.0661673664;0.177570144
12;0.222344352;0.0659139552;0.174740544
13;0.21680352;0.065660544;0.171910944
14;0.210752928;0.0655906464;0.165929472
15;0.204701472;0.0655206624;0.159948
16;0.19865088;0.0654506784;0.153966528
17;0.214896672;0.0652714848;0.14923008
18;0.231143328;0.0650922912;0.144493632
19;0.24738912;0.0649130976;0.139757184
20;0.24763968;0.0652689792;0.14202
21;0.24789024;0.0656248608;0.144282816
22;0.2481408;0.065980656;0.146545632
23;0.233533152;0.0664170624;0.149526432
24;0.218926368;0.0668533824;0.152507232
25;0.20431872;0.0672897024;0.155488896
26;0.207829152;0.0676046304;0.155003328
27;0.211340448;0.0679195584;0.154518624
28;0.21485088;0.0682344864;0.154033056
29;0.2227824;0.068170896;0.1558008
30;0.23071392;0.0681073056;0.15756768
31;0.23864544;0.0680437152;0.159335424
32;0.278507808;0.0678367872;0.158692608
33;0.318369312;0.0676298592;0.158050656
34;0.35823168;0.0674229312;0.157408704
35;0.362467872;0.067896576;0.168516288
36;0.366704928;0.0683702208;0.179623872
37;0.37094112;0.0688438656;0.190731456
38;0.363884832;0.0689918688;0.203220576
39;0.356829408;0.069139872;0.215709696
40;0.34977312;0.0692878752;0.228198816
41;0.3613248;0.0691524864;0.244414368
42;0.37287648;0.0690170976;0.26062992
43;0.38442816;0.0688817088;0.276845472
44;0.39528;0.0685643616;0.294185088
45;0.40613184;0.0682471008;0.311525568
46;0.41698368;0.06792984;0.328865184
47;0.393065568;0.0677201472;0.335212992
48;0.369146592;0.067510368;0.341561664
49;0.34522848;0.0673006752;0.347909472
50;0.354315168;0.0671769504;0.346992768
51;0.363400992;0.067053312;0.346076064
52;0.37248768;0.0669296736;0.34515936
53;0.40394592;0.0671402304;0.344870784
54;0.43540416;0.0673507872;0.344582208
55;0.4668624;0.067561344;0.344292768
56;0.4731264;0.0681339168;0.345765888
57;0.4793904;0.0687064896;0.347239008
