time;inflow;outflow;outflow_wb
135;0.141206112;0.0652586112;0.0948672
136;0.1360368;0.0653887296;0.095094432
137;0.130867488;0.065518848;0.095322528
138;0.125697312;0.0656489664;0.09554976
139;0.126758304;0.0657671616;0.098225568
140;0.127819296;0.0658853568;0.100900512
141;0.128880288;0.066003552;0.103575456
142;0.121891392;0.0657605088;0.104023872
143;0.114902496;0.0655174656;0.104472288
144;0.1079136;0.0652744224;0.104920704
145;0.1141776;0.065661408;0.104671008
146;0.1204416;0.0660483936;0.104421312
147;0.1267056;0.0664353792;0.104171616
148;0.145137312;0.0667528128;0.103743936
149;0.163569888;0.0670703328;0.103316256
150;0.1820016;0.0673877664;0.102888576
151;0.1634256;0.0675359424;0.094462848
152;0.1448496;0.0676841184;0.0860374656
153;0.1262736;0.0678322944;0.077611824
154;0.123052608;0.0680403456;0.073431792
155;0.119831616;0.0682483968;0.06925176
156;0.116611488;0.068456448;0.065071728
157;0.114983712;0.0682108128;0.064947312
158;0.1133568;0.0679651776;0.064822896
159;0.111729888;0.067719456;0.0646983936
160;0.1060992;0.0671810112;0.0656314272
161;0.100468512;0.0666425664;0.0665644608
162;0.094838688;0.0661041216;0.0674974944
163;0.090537696;0.0650555712;0.0658188288
164;0.0862367904;0.0640071072;0.0641401632
165;0.0819359712;0.0629585568;0.0624614112
166;0.0808416288;0.0623442528;0.0603221472
167;0.0797472;0.0617298624;0.0581828832
168;0.0786527712;0.0611155584;0.0560436192
169;0.0758879712;0.0612253728;0.0542815776
170;0.0731231712;0.0613352736;0.052519536
171;0.0703583712;0.061445088;0.0507574944
172;0.0762960384;0.062174304;0.0500907456
173;0.0822336192;0.06290352;0.0494239104
174;0.0881712;0.0636326496;0.0487571616
175;0.0861935904;0.0642407328;0.0519779808
176;0.0842159808;0.0648487296;0.0551988864
177;0.0822383712;0.0654568128;0.058419792
178;0.0763007904;0.0656021376;0.0600313248
179;0.0703632096;0.0657474624;0.061642944
180;0.0644256288;0.0658927872;0.0632544768
181;0.0680927904;0.0657505728;0.0641175264
182;0.0717600384;0.0656083584;0.0649804896
183;0.0754272;0.065466144;0.0658435392
184;0.092337408;0.0641751552;0.0679450464
