time;inflow;outflow;outflow_wb
1;0.48577536;0.0594425952;0.312348096
2;0.457516512;0.0602921664;0.343114272
3;0.429258528;0.061141824;0.373881312
4;0.40099968;0.0619914816;0.404647488
5;0.61831296;0.0628695648;0.46011888
6;0.83562624;0.0637477344;0.515590272
7;1.05293952;0.064625904;0.571061664
8;0.89708256;0.0647182656;0.606572064
9;0.741219552;0.0648107136;0.642082464
10;0.58536;0.0649030752;0.677593728
11;0.547764768;0.065300688;0.644056704
12;0.510168672;0.0656983008;0.610520544
13;0.47257344;0.0660959136;0.576984384
14;0.431539488;0.0660213504;0.541377216
15;0.390504672;0.0659467872;0.505770912
16;0.34947072;0.065872224;0.470163744
17;0.340911072;0.065927952;0.433377216
18;0.332352288;0.06598368;0.396590688
19;0.32379264;0.066039408;0.35980416
20;0.30659904;0.0663913152;0.33367248
21;0.28940544;0.0667432224;0.307539936
22;0.27221184;0.0670951296;0.281408256
23;0.301149792;0.066780288;0.289937664
24;0.330088608;0.0664654464;0.298467072
25;0.35902656;0.0661506048;0.30699648
26;0.450189792;0.0656798112;0.358436448
27;0.541353888;0.0652090176;0.409876416
28;0.63251712;0.064738224;0.461316384
29;0.717039648;0.0647318304;0.516445632
30;0.801561312;0.0647254368;0.571574016
31;0.88608384;0.0647189568;0.626703264
32;0.794925792;0.0650601504;0.615665664
33;0.703768608;0.065401344;0.604628064
34;0.61261056;0.0657424512;0.593590464
35;0.578448;0.0658128672;0.541207008
36;0.54428544;0.0658832832;0.488822688
37;0.51012288;0.0659536992;0.436439232
38;0.480464352;0.065793168;0.408509568
39;0.450806688;0.0656326368;0.380579904
40;0.42114816;0.0654721056;0.35265024
41;0.428204448;0.064511424;0.379886976
42;0.435259872;0.063550656;0.407123712
43;0.44231616;0.062589888;0.434361312
44;0.517403808;0.0625183488;0.482370336
45;0.592490592;0.0624467232;0.530380224
46;0.66757824;0.062375184;0.578389248
47;0.616314528;0.0631416384;0.581078016
48;0.565049952;0.0639081792;0.58376592
49;0.51378624;0.06467472;0.586453824
50;0.48610368;0.0645030432;0.54196128
51;0.45842112;0.0643313664;0.4974696
52;0.43073856;0.0641596896;0.452977056
53;0.42125184;0.064351584;0.43054848
54;0.41176512;0.0645434784;0.408119904
55;0.4022784;0.0647354592;0.385691328
56;0.428710752;0.0650013984;0.388632384
57;0.455143968;0.0652673376;0.39157344
58;0.48157632;0.0655332768;0.394513632
59;0.496477728;0.0658676448;0.42871248
60;0.511378272;0.0662019264;0.462911328
61;0.52627968;0.0665362944;0.497110176
62;0.493683552;0.0663788736;0.47693664
63;0.461088288;0.0662213664;0.45676224
64;0.42849216;0.0660639456;0.436588704
65;0.41209344;0.0655426944;0.38330928
66;0.39569472;0.0650214432;0.330029856
67;0.379296;0.064500192;0.276750432
68;0.376848288;0.0647176608;0.273799872
69;0.374399712;0.0649351296;0.270849312
70;0.371952;0.0651526848;0.267898752
71;0.33975936;0.0646713504;0.248301504
